napoleonGPG1of2_88m	directory	directory	directory	directory	directory	directory
napoleonGPG1of2_88m/napoleon.tar.gpg_so75.gz_88m_dt	md5	e25779d3147a5f2a25d6d3fc4a28c28e	sha1	2b8ea9cfadbbb237f36929c82be24b8d3d23be0a	sha256	366079c49286a5cc4f16cc465fac13369da28ff126a6a35be9d123c8a9d882f9

napoleonGPG1of2_88m/napoleon.tar.gpg_so75.gz_88m_du	md5	952dea139d62bd2bf58701554a702404	sha1	90e6df68b8c03c26ba359955df60a8fc99665872	sha256	47baa10cd49fed0691a0ab8b7825cc36c9174319155d58e9102c5a6838d2e44b

napoleonGPG1of2_88m/napoleon.tar.gpg_so75.gz_88m_dv	md5	2184911ceb83a59c29b30d695a75cfae	sha1	9bcbb0bdcca900cbc69f747dc49f26e7e604a7f6	sha256	ff5b9a6f37b682b3e41c2da05769c94af858ec86a8c9db06a4441a3c60e9fb3a

napoleonGPG1of2_88m/napoleon.tar.gpg_so75.gz_88m_dw	md5	06ec74e8fc74bd10a6f3b9eefeffaae8	sha1	f3e7b7f93e6646eee596387bd05886fedea40906	sha256	b40e64ebce7db2bdda4836fe593f11f8f2b6c2db39fc2ab0e49670ed5373980c

napoleonGPG1of2_88m/napoleon.tar.gpg_so75.gz_88m_dx	md5	2a55cfb1a78856c0974fec07c68c6571	sha1	7c988b7c47d2b83db92490286748952a5b59f978	sha256	8f2751ec151597488efa0682404714a7586c4f78939fc80c40f33b4892bef6b9

napoleonGPG1of2_88m/napoleon.tar.gpg_so75.gz_88m_dy	md5	de47a862e1e586c43409785933a2a399	sha1	0f3b5499c0c8c8b5379be40995a341211ab30ccb	sha256	d73a95efcddb10f9cb94ba58229360adfe827c8903934eb86d1bc834dadaa814

napoleonGPG1of2_88m/napoleon.tar.gpg_so75.gz_88m_dz	md5	1c8bd007d11868e3a563d4a21aca9047	sha1	91bd07dc7ac1cbbd61bd4eeb148550278d3fbfa4	sha256	2a44901216744ce2e41f5052828764d194bf9fb0038b337fee9d0813710fbb6c

